"Source:","/media/andi/PortableApps/home assistant/KiCAD/CC dimmer low voltage/CC dimmer low voltage.kicad_sch"
"Date:","Wed 29 Dec 2021 11:27:57 CET"
"Tool:","Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Purchase"
"","","C102","470u","Device:CP","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://datasheet.lcsc.com/lcsc/2103191708_KNSCHA-01EC4236_C2760863.pdf","C2760863","https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-Leaded_KNSCHA-01EC4236_C2760863.html"
"","","C201","220u","Device:CP","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://datasheet.lcsc.com/lcsc/1810161213_Capxon-International-Elec-KF221M010E070A_C59330.pdf","C59330","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-Leaded_Capxon-International-Elec-KF221M010E070A_C59330.html"
"","","C311","10n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2110121830_Samsung-Electro-Mechanics-CL21B103KAANNNC_C2688117.pdf","C2688117","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B103KAANNNC_C2688117.html"
"","","C321","10n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2110121830_Samsung-Electro-Mechanics-CL21B103KAANNNC_C2688117.pdf","C2688117","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B103KAANNNC_C2688117.html"
"","","C331","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C421","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C601","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","D11","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D21","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D31","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D41","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
